"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
7222,"0II5","small_airport","Marshall Field",40.65950012207031,-86.8572006225586,705,"NA","US","US-IN","Chalmers","no","0II5",,"0II5",,,
7223,"0II6","closed","Kropf Airport",41.64335,-85.830131,810,"NA","US","US-IN","Goshen","no",,,,,,"0II6"
7224,"0II7","small_airport","Frost Field",39.79560089111328,-85.78610229492188,900,"NA","US","US-IN","Greenfield","no","0II7",,"0II7",,,
7225,"0II8","small_airport","Sutton's Field",41.324798583984375,-87.47589874267578,740,"NA","US","US-IN","Lowell","no","0II8",,"0II8",,,
7226,"0II9","small_airport","Winters Airport",39.532612,-86.576729,755,"NA","US","US-IN","Martinsville","no","0II9",,"0II9",,,
7227,"0IL0","heliport","Hamilton Memorial Hospital Heliport",38.086700439453125,-88.53890228271484,440,"NA","US","US-IL","Mc Leansboro","no","0IL0",,"0IL0",,,
7228,"0IL1","heliport","Loyola University Medical Center Heliport",41.86090087890625,-87.8364028930664,623,"NA","US","US-IL","Broadview","no","0IL1",,"0IL1",,,
45950,"0IL2","small_airport","Griffin Airport",38.803056,-88.997778,541,"NA","US","US-IL","Alma","no","0IL2",,"0IL2",,,
7229,"0IL3","closed","Flying B Ranch Airport",40.157001,-87.6745,696,"NA","US","US-IL","Danville","no",,,,,,"0IL3"
7230,"0IL4","heliport","Advocate Good Samaritan Hospital Heliport",41.818743,-88.007677,772,"NA","US","US-IL","Downers Grove","no","0IL4",,"0IL4",,,
323339,"0IL5","heliport","OSF St Luke Medical Center Heliport",41.221865,-89.947788,849,"NA","US","US-IL","Kewanee","no","0IL5",,"0IL5",,,
7231,"0IL6","heliport","Northwestern Memorial Healthcare Heliport",41.960636,-88.721781,852,"NA","US","US-IL","DeKalb","no","0IL6",,"0IL6",,,"Kishwaukee Community Hospital"
352229,"0IL7","small_airport","Davis Restricted Landing Area",39.782917,-88.546708,682,"NA","US","US-IL","Hammond","no","0IL7",,"0IL7",,,
7232,"0IL8","small_airport","Walter Airport",41.872501,-88.723701,890,"NA","US","US-IL","DeKalb","no","0IL8",,"0IL8",,,
7233,"0IL9","small_airport","Jack W Watson Airport",41.853699,-88.786513,880,"NA","US","US-IL","DeKalb","no","0IL9",,"0IL9",,,
7234,"0IN1","small_airport","Snider Field",38.5,-87.59590148925781,400,"NA","US","US-IN","Decker","no","0IN1",,"0IN1",,,
7235,"0IN2","small_airport","The Lazy K Airport",40.82780075073242,-85.08609771728516,835,"NA","US","US-IN","Tocsin","no","0IN2",,"0IN2",,,
7236,"0IN3","closed","Graves Landing Strip",41.113035,-86.664963,704,"NA","US","US-IN","Winamac","no",,,,,,"0IN3"
7237,"0IN4","small_airport","Air Park Field",41.127405,-84.953306,750,"NA","US","US-IN","New Haven","no","0IN4",,"0IN4",,,
7238,"0IN5","small_airport","Byrne Field",38.329378,-86.033431,800,"NA","US","US-IN","Byrneville","no","0IN5",,"0IN5",,,
7239,"0IN7","closed","Roto-Whirl/Holiday Heliport",39.922501,-86.226097,875,"NA","US","US-IN","Indianapolis","no",,,,,,"0IN7"
7240,"0IN8","closed","Roto-Whirl/Vantage Heliport",39.837299,-86.118597,726,"NA","US","US-IN","Indianapolis","no",,,,,,"0IN8"
7241,"0IN9","small_airport","Parrish Airport",37.99322,-87.94855,390,"NA","US","US-IN","Mount Vernon","no","0IN9",,"0IN9",,,
7242,"0IS0","heliport","Trinity Medical Center West Heliport",41.48109817504883,-90.57140350341797,664,"NA","US","US-IL","Rock Island","no","0IS0",,"0IS0",,,
7243,"0IS2","heliport","Evanston/Glenbrook Heliport",42.093101501464844,-87.85260009765625,678,"NA","US","US-IL","Glenview","no","0IS2",,"0IS2",,,
7244,"0IS3","small_airport","Cady Aerial Restricted Landing Area",41.660089,-89.694443,630,"NA","US","US-IL","Rock Falls","no","0IS3",,"0IS3",,,
7245,"0IS4","closed","Dawson Farms Airport",39.764081,-88.671212,670,"NA","US","US-IL","Lovington","no",,,,,,"0IS4"
7246,"0IS6","heliport","Dongola Heliport",37.3656005859375,-89.1635971069336,383,"NA","US","US-IL","Dongola","no","0IS6",,"0IS6",,,
7247,"0IS8","heliport","Blessing Hospital At 11th St Heliport",39.936012,-91.398659,650,"NA","US","US-IL","Quincy","no","0IS8",,"0IS8",,,"Air Evac 5 Heliport"
7248,"0IS9","heliport","Bernardin Heliport",41.70840072631836,-89.2029037475586,830,"NA","US","US-IL","West Brooklyn","no","0IS9",,"0IS9",,,
7249,"0J0","small_airport","Abbeville Municipal Airport",31.600093,-85.238353,468,"NA","US","US-AL","Abbeville","no",,,"0J0",,"https://en.wikipedia.org/wiki/Abbeville_Municipal_Airport",
7250,"0J8","small_airport","Flying Ten Airport",29.618000030517578,-82.50869750976562,85,"NA","US","US-FL","Archer","no","0J8",,"0J8",,,
345693,"0JY9","heliport","Fleming County Hospital Heliport",38.422373,-83.752604,943,"NA","US","US-KY","Flemingsburg","no","0JY9",,"0JY9",,,
7251,"0K6","small_airport","Dobie's Airport",36.178496,-95.580468,610,"NA","US","US-OK","Inola","no",,,"0K6",,,
7252,"0KS0","small_airport","J V Ranch Airport",38.63330078125,-95.92530059814453,1180,"NA","US","US-KS","Osage City","no","0KS0",,"0KS0",,,
7253,"0KS2","closed","Kellie Mann Airfield",38.560001,-95.309097,1045,"NA","US","US-KS","Ottawa","no",,,,,,"0KS2"
7254,"0KS3","closed","Camp Chippewa Airport",38.5667,-95.366898,1120,"NA","US","US-KS","Ottawa","no",,,,,,"0KS3"
7255,"0KS4","small_airport","Norris Airport",38.807239,-95.370056,1065,"NA","US","US-KS","Lawrence","no","0KS4",,"0KS4",,,
354111,"0KS5","small_airport","Oasis Aerodrome",38.450666,-98.797646,1914,"NA","US","US-KS","Great Bend","no","0KS5",,"0KS5",,,
7256,"0KS6","closed","Kendrigan Airport",37.452202,-97.317802,1240,"NA","US","US-KS","Peck","no",,,,,,"0KS6"
7257,"0KS7","small_airport","Mono Aircraft Airport",37.69279861450195,-97.88639831542969,1450,"NA","US","US-KS","Cheney","no","0KS7",,"0KS7",,,
